COMP_K,COMP_R,COMP_RHKMFWY,COMP_RHKM,MAXSW20_COMP_RHKMFWY,MAXSW20_COMP_RHKM,AVG_DNA_IDX,AVG_RNA_IDX,AVG_DRNA_IDX,MAXSW15_AVG_RNA_IDX
0.14751,0.13276,?,0.19843,0.42857,0.33333,0.46624,0.40239,0.43835,0.27692
0.06827,?,0.18545,0.05526,0.07143,0.06667,0.27511,0.13459,0.21173,0.1891
0.29429,0.08791,?,0.26919,0.64286,0.4,0.31863,0.27065,0.29759,?
0.10901,?,0.44184,0.26735,?,0.46667,0.48276,0.43798,0.46361,0.53269
?,0.26092,0.52798,?,?,0.46667,0.51462,0.42795,0.47645,0.41538
?,0.12483,0.20212,0.08605,0.42857,?,0.41327,0.27959,0.35338,0.39359
0.28608,0.26551,0.53197,0.40908,0.5,0.46667,0.50413,0.43306,0.47304,?
0.17786,0.09433,?,0.15566,0.42857,0.26667,0.51663,0.38835,0.45948,0.23205
0.19106,?,0.43011,0.32061,0.42857,0.46667,0.3909,0.35177,?,0.325
0.17442,?,?,0.30269,0.57143,0.33333,0.47259,0.39145,0.43683,0.43205
0.11693,0.33281,0.54824,0.34744,0.57143,0.4,0.52939,0.44031,0.49016,0.39423
0.19018,0.22629,?,0.38172,?,0.46667,0.46794,0.39544,0.43611,?
0.09655,0.22189,0.33108,0.27839,0.42857,0.33333,0.32395,?,0.32286,0.30962
0.06062,0.25316,0.36287,0.25632,0.42857,0.4,0.41066,0.3589,0.38814,0.36987
0.24929,0.20566,0.5526,0.30055,0.57143,0.26667,0.58935,0.45697,0.53052,0.38397
0.11533,0.17127,0.37233,0.23817,0.5,0.33333,0.41176,0.36934,0.39351,0.38205
0.27034,0.25091,0.53567,0.41871,0.5,0.46667,0.51802,?,0.46963,0.43141
0.17057,?,0.48614,0.31777,0.64286,0.46667,0.50466,0.39892,0.45776,0.46474
0.20276,0.29273,0.48571,0.33204,0.42857,0.33333,0.54401,0.47758,0.51515,0.37179
?,0.05142,0.4666,0.27983,0.42857,0.26667,0.42461,0.33471,0.38472,0.28654
0.17858,0.15724,0.38857,0.27182,0.57143,0.46667,0.48896,0.34895,0.42638,?
0.18267,0.03767,0.49097,0.4286,0.35714,0.4,0.34161,0.28039,0.31459,0.17756
0.16484,0.27685,0.439,0.33275,0.5,0.33333,0.44979,0.38291,0.42048,0.41731
0.21121,0.29403,?,0.38839,0.64286,0.46667,0.47261,0.42281,0.45115,0.45769
?,0.19913,0.51156,0.25827,0.71429,0.46667,0.54176,0.39684,0.47708,0.46538
0.32854,0.08712,0.38857,0.31378,0.42857,0.33333,0.38224,0.34228,0.36502,0.25192
0.12818,0.43981,0.52993,0.38521,0.71429,0.6,0.43903,0.42069,0.43183,0.66667
0.31502,0.12404,0.42644,?,0.5,?,0.44348,0.38094,0.41612,0.42436
0.19922,0.15522,0.39663,0.31394,0.42857,0.4,0.35953,0.32449,?,0.32949
0.0497,0.39534,0.43184,0.35243,0.64286,?,0.42374,0.40625,0.41689,0.45705
0.23837,0.19087,0.52199,0.31568,0.71429,0.46667,0.49172,0.38997,0.4466,0.37564
0.19878,?,0.51543,?,0.57143,0.4,0.43252,0.38211,0.41067,0.43269
?,0.4532,0.76422,0.66228,0.85714,0.8,0.64725,0.64783,?,0.5609
0.29559,0.22244,0.45678,0.36084,0.5,0.53333,0.48674,?,0.43464,?
0.10371,0.06417,0.38584,0.16033,0.5,0.33333,0.40292,0.35763,0.38333,0.39038
0.21479,0.30714,0.50877,0.39888,?,0.66667,0.50021,0.40115,0.45634,0.63333
0.22623,0.23621,0.53205,0.39296,0.64286,0.53333,0.49276,0.41281,0.45759,0.49744
0.13572,0.15115,0.3991,?,0.35714,0.2,0.41496,0.32422,0.37467,0.27115
0.06056,0.23232,0.37081,0.25829,0.57143,0.4,0.39774,0.35069,0.37733,0.4109
0.26966,0.1775,0.61535,0.3353,0.71429,0.4,0.55147,0.38088,0.4751,0.40256
0.25636,0.11536,?,0.25882,0.42857,0.33333,0.49008,0.36379,0.43376,0.28269
0.18996,0.21033,0.49606,0.36136,0.57143,0.46667,0.43518,0.37304,0.40799,?
0.12345,0.42009,0.55225,0.51626,0.57143,0.4,?,0.4469,0.45598,0.43269
0.22655,0.16353,0.46292,0.36537,0.5,0.4,0.39848,0.31593,0.36188,0.2891
0.2119,0.34503,0.51072,0.36975,0.71429,0.53333,0.52878,0.44871,0.49366,0.45577
0.09875,0.24439,?,0.2805,0.5,0.53333,0.4174,0.36787,?,0.49103
0.18095,0.18474,0.46465,0.2423,?,0.4,0.49278,?,0.43113,0.32051
?,0.20864,?,0.33336,0.57143,0.4,0.47456,0.40442,0.44382,0.43526
0.18037,0.22741,0.50391,0.33998,?,0.4,0.47806,0.38083,0.43497,0.42436
0.28848,0.0255,0.3862,0.20503,0.42857,0.2,0.33117,0.24544,0.29294,0.21154
0.2509,0.08732,0.34101,0.23843,0.64286,0.4,0.4008,0.26654,0.34061,0.39744
0.09711,0.2884,0.50581,0.37795,0.5,0.4,0.47621,0.42481,0.45402,0.35128
0.21407,0.17976,0.46198,0.32792,0.71429,0.4,0.45717,0.34837,0.40875,0.41538
0.17509,0.065,0.48269,0.20264,0.57143,?,0.46744,?,0.39971,0.27051
0.15677,0.23711,0.47971,?,0.5,0.46667,0.48154,0.41679,0.45328,0.3859
0.24138,0.17922,0.55233,0.39704,?,0.33333,0.48853,0.41905,0.45813,?
0.02166,0.29487,0.33626,0.22736,0.5,0.33333,0.40222,0.36967,0.38844,?
0.18012,0.19105,0.49065,0.26976,0.64286,0.53333,0.54382,0.39867,0.47904,0.46603
0.34449,0.2436,0.48006,0.38162,0.64286,0.46667,0.46897,0.30613,0.39593,0.48333
0.33333,0.15646,0.41038,0.34889,0.64286,?,0.31676,0.31899,0.31862,0.37372
?,0.21445,0.50609,0.29881,0.57143,0.33333,0.50488,0.39056,?,0.39231
0.31194,0.21139,0.48187,0.37204,0.57143,0.46667,0.40325,0.38411,0.39559,0.36731
0.10771,0.04998,0.43231,0.15922,0.42857,0.2,0.42627,0.35297,0.39396,0.33526
0.05495,0.26066,0.3325,0.23586,0.42857,0.33333,0.36583,0.33673,?,0.31603
0.38138,0.11351,0.49238,0.36815,0.57143,0.46667,0.41799,0.29919,0.3649,0.34808
0.28638,0.11813,0.41656,0.28463,0.57143,0.4,0.34902,0.28306,0.31986,0.24872
0.24063,0.23304,0.53083,0.3502,0.64286,0.4,0.475,0.41202,0.44753,0.39615
0.11687,0.2314,0.39126,0.2573,0.57143,0.6,0.43861,0.35615,0.40215,0.39808
0.296,0.0814,0.44742,0.30892,0.57143,0.4,0.46609,0.3472,0.41309,0.28397
0.23118,0.21035,0.53145,0.33448,0.57143,0.46667,0.49967,0.39379,?,?
?,0.24179,0.46638,?,?,0.6,0.51142,0.41127,0.46709,0.63013
0.12516,0.06638,0.24825,0.15496,0.28571,0.26667,0.37674,0.27263,0.33024,0.22051
0.16373,?,0.39309,0.22642,0.5,?,0.47638,0.33506,0.41317,?
0.14154,0.28463,0.41553,0.27169,?,0.26667,0.42755,0.31445,?,0.29231
?,0.21336,0.64035,0.48216,0.64286,0.6,0.48774,0.44221,0.46826,0.40128
0.3129,0.13552,0.40476,0.3606,0.5,0.46667,0.40832,?,0.36636,0.37115
0.28102,0.09563,0.46027,0.30597,0.57143,0.4,0.42466,0.33135,0.38322,0.35192
0.31194,?,?,0.47204,0.57143,0.33333,0.53264,0.52825,0.53205,0.34167
0.37375,0.07708,0.54749,0.312,0.57143,?,0.49427,0.34709,0.42844,0.23333
?,0.18311,0.51777,0.36005,0.64286,0.46667,0.44632,0.38393,?,0.45577
0.05632,0.34074,0.33029,0.25059,0.5,0.46667,0.38405,0.33293,0.36175,0.46859
0.19237,?,0.56645,0.36408,?,0.4,0.51486,0.42264,0.47416,0.35769
0.11653,0.25956,0.36914,?,0.5,0.46667,0.39507,0.31432,0.35928,?
0.11455,0.23035,0.38692,0.2632,0.64286,0.4,0.41122,0.29201,0.35793,0.40962
0.25436,0.16487,0.52959,0.3353,?,0.46667,0.48444,0.37351,0.43512,?
0.1955,0.19008,0.452,?,0.5,0.26667,?,?,0.45092,?
0.33016,0.19227,0.51251,0.39974,0.5,0.4,0.41507,0.36526,0.39345,0.26346
0.24762,0.23433,0.44552,?,0.35714,0.33333,0.48547,?,?,0.33526
0.04506,?,0.50903,0.29834,0.42857,0.33333,0.49335,0.39154,0.44821,0.29423
0.12622,0.14107,?,0.21083,0.57143,0.46667,0.49008,0.36143,0.43269,0.37115
0.27378,0.23766,0.52307,0.3708,0.64286,0.6,0.46917,0.39677,0.43739,0.49295
0.16604,0.22964,0.46887,0.3148,0.5,0.46667,0.47229,0.40611,0.44335,0.35513
0.22797,0.13276,0.40245,0.28871,0.35714,0.33333,0.41511,0.34438,0.38395,0.38205
0.25594,0.14663,0.44566,0.28921,0.71429,0.53333,0.4751,0.33488,0.41239,0.33462
0.11216,0.21724,?,0.31059,0.57143,0.6,0.5021,0.36833,0.44241,0.39167
0.18063,0.16765,0.51038,0.30479,0.5,?,0.49699,?,0.44445,0.4109
0.28558,0.08835,0.51034,0.39043,0.57143,0.33333,0.40514,0.37642,0.39311,0.29038
0.3569,0.26243,0.4988,0.45379,?,?,0.40487,0.32775,0.37077,0.475
0.30444,0.27314,0.55923,0.45137,0.57143,0.46667,0.53568,0.45357,0.49964,0.41474
0.26363,0.19278,0.53945,0.43853,0.71429,?,0.45136,0.42276,0.43951,0.45641
0.31944,0.24966,0.58721,0.45579,0.71429,0.53333,0.53011,0.44024,0.49052,0.47115
0.24974,0.29939,0.4736,0.38879,0.57143,0.46667,0.4304,0.3896,0.41293,?
0.25862,0.11735,0.49761,0.35319,0.57143,0.46667,0.41641,0.35344,0.38879,?
0.1753,0.22898,0.37989,0.28454,0.42857,0.33333,0.38095,0.353,0.36921,0.32821
0.16135,?,0.30483,0.26955,0.42857,0.4,0.36449,0.2537,0.31491,0.38333
?,?,0.57108,0.39733,0.57143,0.46667,0.51366,0.41455,0.46981,?
0.16434,0.38132,0.49457,0.38475,0.57143,0.46667,0.46249,0.41328,0.44126,?
?,0.05502,0.33233,0.21031,0.35714,0.33333,0.38334,0.24805,0.32264,0.1891
0.24312,0.18051,0.48991,0.34586,0.5,0.33333,0.44643,0.34869,0.40302,0.33718
0.16647,0.206,0.45413,0.25135,0.42857,?,0.41348,0.32126,0.37251,0.28333
0.12225,0.25934,0.43903,0.33256,0.5,0.46667,0.42885,?,0.40539,0.37628
0.23162,0.16904,?,0.33186,0.5,0.4,0.51972,0.3941,?,0.46731
0.05576,0.30363,0.34144,0.24461,0.42857,0.4,0.405,0.33734,0.37521,?
0.11533,0.24263,0.35641,0.21229,0.35714,0.26667,0.42622,0.3338,?,0.33718
0.11788,0.24313,0.33661,0.25092,0.42857,0.33333,0.40055,0.33801,0.37308,?
0.33376,0.10325,0.5073,0.3645,?,0.33333,0.41488,0.32309,?,0.29295
0.14396,0.20628,0.47787,?,0.42857,0.4,0.4468,0.38684,0.42063,0.30064
0.2335,0.14448,0.48907,0.28663,0.5,0.46667,0.50716,0.4009,0.46003,0.43974
0.27699,?,0.5956,0.42487,0.64286,0.53333,0.50357,0.40879,0.46167,0.43077
0.15002,0.21495,0.34409,0.24061,0.5,0.4,0.36948,0.29312,0.33563,0.36026
0.05159,0.25538,0.33889,0.25563,0.5,0.4,0.42344,0.34628,0.38936,0.52308
0.29143,0.15346,0.42903,0.3543,?,0.53333,0.41009,0.31333,0.36704,0.31923
0.14483,0.19913,0.44131,0.33084,0.5,0.46667,0.40831,0.37683,0.39503,0.36731
0.074,0.09157,0.36234,0.22281,0.35714,0.2,0.44979,0.31754,0.39065,0.2359
0.09538,0.15176,0.28829,0.22318,0.35714,0.26667,0.311,0.29361,0.30389,0.26859
0.16991,0.23362,0.52804,0.37949,0.5,0.4,0.55275,0.45365,0.50901,0.35962
?,0.24027,0.40615,0.25836,0.64286,0.53333,0.47853,0.39933,0.44367,0.57821
?,0.07603,0.49631,0.34123,0.57143,0.33333,?,0.35686,0.39187,0.29744
0.09025,0.37227,0.57392,0.37765,?,0.33333,?,0.48551,0.52118,0.47244
0.09109,0.38324,0.48729,0.32277,?,0.4,0.51372,0.40562,0.46577,0.50705
0.17653,0.18725,0.54661,0.36147,0.64286,0.46667,0.47319,0.40478,0.44324,?
0.16764,0.14194,0.42028,0.26419,0.5,0.33333,0.3977,0.30724,0.35749,?
0.0719,0.29658,0.45678,?,0.42857,0.33333,0.48188,0.40163,0.44655,0.35321
0.10792,0.21702,0.45198,?,0.57143,?,0.47429,0.3865,0.4355,0.43013
0.22911,0.16834,?,0.29712,0.57143,0.4,0.43422,0.33946,0.39214,0.31731
0.22393,0.20153,0.36633,0.27783,0.35714,0.26667,0.3746,0.33448,?,0.27372
0.32184,0.082,0.47102,0.31349,0.78571,0.46667,0.45275,0.34007,0.40255,?
0.1711,0.22938,0.44391,0.27956,0.42857,0.33333,0.4824,0.37811,0.4361,?
0.03895,0.31334,0.39333,0.32097,0.5,0.4,0.43312,?,0.41513,0.40897
0.22529,?,0.43576,0.25861,0.5,0.46667,0.5389,0.35729,0.45748,0.46603
0.18137,0.20896,0.42495,?,0.64286,0.46667,0.44456,0.36326,0.40865,0.54295
0.23252,0.26856,0.52315,0.39141,0.57143,0.4,?,?,0.46784,0.34103
0.35716,0.20399,0.33882,0.33862,?,0.33333,0.40829,0.35195,0.38367,0.27115
0.23995,0.10826,0.46675,0.26787,0.64286,0.4,0.48186,0.32915,0.41347,0.36987
0.16897,0.10455,?,?,0.5,0.46667,0.3779,0.35276,0.36744,0.31667
0.0497,0.46123,0.46857,0.29933,0.42857,0.26667,0.56293,0.49527,0.53356,0.32179
0.23693,?,0.41044,0.33801,0.57143,0.4,0.38458,0.34337,0.3668,0.33397
0.26415,?,0.65696,0.42498,0.85714,0.53333,0.54181,0.46264,0.50713,?
0.22316,0.12822,0.40873,?,0.42857,?,0.35556,0.31412,0.3376,0.35064
0.21802,0.26979,0.41563,?,0.42857,0.4,?,0.42219,0.43072,0.44038
0.1369,0.15158,0.38505,0.19169,?,?,?,0.39608,0.48458,0.35705
?,0.32289,0.40778,?,0.5,0.4,?,0.37505,0.39473,0.35128
?,0.16246,0.49997,0.32768,0.64286,0.53333,?,0.38935,0.44655,0.44744
0.27824,0.08138,0.47873,0.26816,0.57143,0.46667,0.42108,0.3654,0.3968,0.33974
0.18506,0.26883,0.45796,0.30074,0.57143,0.53333,0.49998,0.40201,0.45661,0.4359
0.19462,0.17515,0.48877,0.36433,0.42857,0.4,0.40491,0.34887,0.38042,0.30962
0.19805,0.18382,0.39818,0.30723,0.35714,0.33333,0.3927,0.35214,?,0.29679
0.18217,0.13526,0.35532,0.24783,?,0.33333,0.42062,0.32086,0.37622,0.47179
0.08129,0.388,0.57585,0.3793,0.57143,0.4,0.56117,0.46873,0.52048,0.46026
0.29287,0.19515,0.55566,0.3826,0.64286,0.4,0.48457,0.40905,0.45141,0.48462
0.2002,0.17342,0.47466,0.26902,0.57143,0.4,0.47563,0.34715,0.41827,0.34103
0.27586,0.0569,0.5214,0.39188,0.5,0.46667,0.40405,0.36969,0.38945,0.29167
0.08994,0.34981,0.4968,0.35049,0.5,0.26667,0.54933,0.46019,0.51012,0.43974
?,?,0.55807,0.43315,0.57143,0.53333,0.54134,?,0.48561,0.42179
0.24248,0.26196,0.49501,0.3796,0.57143,0.46667,0.41405,0.36159,0.39122,0.43526
0.12594,0.2684,0.429,0.33581,0.71429,0.53333,0.47452,0.37386,0.42986,0.57115
0.07165,0.33987,0.38891,0.28488,0.5,0.53333,0.38165,0.34185,0.3645,?
0.32757,0.22577,0.46068,0.40524,0.57143,0.46667,?,0.36298,?,0.37821
?,0.3267,0.54036,0.52005,0.57143,0.6,0.55897,?,0.53141,0.46026
0.07324,0.21362,0.3612,0.1702,0.57143,0.33333,0.43923,?,0.37886,0.31026
0.06575,0.37425,0.42902,0.31119,0.42857,?,0.44019,0.41551,0.4301,?
0.20825,0.18742,0.48408,0.37368,?,0.8,0.42047,0.30306,0.36802,0.55833
0.18716,0.14154,0.34762,0.21537,0.35714,0.26667,?,0.30516,?,0.27949
0.25327,0.20596,0.55186,0.37686,?,0.46667,?,0.39866,?,0.39872
0.03829,0.31986,?,?,0.35714,0.33333,0.35883,0.32675,0.34515,0.34231
0.02238,0.2991,0.32282,0.23227,0.5,0.33333,0.35835,0.30722,?,0.34808
0.14159,0.26866,0.47595,0.31594,0.5,0.4,0.45065,0.38044,0.41982,0.40321
0.09272,0.29324,0.37199,0.2821,0.64286,0.4,0.36662,0.35412,0.36189,0.42244
0.15645,0.24523,0.47132,0.33329,0.64286,0.33333,0.48088,0.40851,0.44914,?
0.06457,0.1465,0.35949,0.12885,0.57143,0.2,0.47734,0.31532,0.40469,0.26603
0.27864,0.20542,0.49185,0.32228,0.64286,0.46667,0.45281,0.38111,?,0.38013
0.10271,0.24786,?,0.25029,0.5,0.46667,0.39466,0.34314,0.3722,0.4359
0.22316,0.19726,0.46922,0.29126,0.64286,0.4,0.44719,0.35854,0.40793,0.49423
0.15975,0.07603,0.32675,0.13901,0.35714,?,0.43365,0.28135,?,0.23462
0.35059,0.22898,0.52267,0.45209,0.64286,0.66667,0.44426,0.34678,0.40097,0.46731
0.2617,0.23936,?,0.3957,0.57143,0.53333,0.40908,0.38125,0.39747,0.40192
0.17039,0.45684,0.74531,0.45864,0.64286,0.4,0.59622,0.54716,0.57542,0.38526
?,0.21336,0.56898,0.46927,0.57143,0.53333,0.43296,0.34887,?,0.38269
0.25128,0.08578,0.50664,?,0.5,0.33333,0.49817,0.37341,?,0.25897
0.20983,0.27332,0.44762,0.34063,0.5,0.46667,0.4653,0.41535,?,0.43077
0.25666,0.13234,0.41931,0.32756,0.42857,0.4,?,0.34838,0.35343,0.32628
?,?,0.36571,0.31791,0.28571,?,0.43872,0.39285,0.41896,0.41667
0.28161,0.12778,0.5181,0.36996,0.64286,0.46667,0.46535,0.40475,0.43894,0.36282
0.13069,0.25414,?,0.2907,0.5,0.4,0.40098,0.35998,0.38334,0.37372
0.32237,?,0.44737,0.37661,0.5,0.53333,0.35076,0.35584,0.35401,0.33333
0.17786,?,0.49264,0.19368,0.71429,0.26667,0.54928,0.35332,0.46134,?
0.35886,0.03701,0.48056,0.35262,0.5,0.4,0.39707,0.36184,0.38205,0.30513
?,0.34594,0.49848,?,0.5,0.4,0.49078,0.43763,0.46784,0.49936
0.11445,?,0.30597,0.25652,0.42857,?,0.34582,0.31834,0.3342,?
0.2578,0.13796,0.46048,0.34976,0.57143,?,0.41942,0.35503,0.39116,0.3859
0.24413,0.0636,0.43474,0.23516,?,0.4,0.43939,0.32437,0.38808,0.34295
0.14016,?,0.54033,?,0.64286,0.53333,0.5447,0.41587,0.48737,0.47115
0.0653,0.26263,0.45474,0.29394,0.57143,?,0.44671,0.36626,0.41119,0.35705
0.18836,0.1691,0.39462,0.30331,0.57143,0.4,0.37454,0.32294,0.352,0.35256
0.50162,0.0,0.55857,0.5398,0.5,0.4,0.40834,0.37942,0.39623,0.22051
0.27694,0.16558,0.47391,0.32329,0.57143,0.53333,0.4498,?,0.39947,0.39231
0.18385,0.35751,0.56121,0.41875,0.57143,0.4,0.51386,0.48445,0.50181,0.46026
0.22825,0.14122,0.55898,0.29277,0.64286,0.4,?,0.39207,0.47741,?
0.12736,0.21014,0.36563,0.28326,0.5,0.33333,0.44941,0.33016,0.3962,0.31474
0.16092,0.20517,?,0.27047,0.5,0.33333,?,0.3745,0.43615,0.34744
0.0453,0.29149,0.34664,0.25289,0.57143,0.4,0.34882,0.32857,0.3405,0.43077
0.07967,0.14788,0.27387,0.1461,0.57143,0.33333,0.38321,0.28873,0.34112,0.40577
0.07892,0.16869,0.39785,0.2013,0.57143,0.4,0.46342,0.34779,0.4119,0.44936
0.16782,0.1888,0.42914,0.23001,0.42857,0.46667,0.42727,0.40704,0.41917,0.38846
0.16674,0.16507,0.51639,0.30177,0.57143,?,0.50507,0.40219,0.45948,0.32821
0.08761,0.21684,0.25257,0.18973,0.5,0.33333,0.37669,0.26742,0.32784,0.34038
0.13428,0.19386,0.32488,0.21776,0.57143,0.46667,0.37428,0.2879,0.33587,0.43397
0.16404,0.4872,0.49137,0.49205,0.42857,0.4,0.52594,0.49799,0.51458,0.44423
?,0.27343,0.40501,0.29704,0.5,0.33333,0.408,0.35221,0.38363,0.42436
0.51008,0.1578,0.75332,0.48403,?,0.46667,0.57903,0.51172,0.54986,?
0.09052,0.48539,0.42327,?,0.35714,0.33333,0.48192,0.44754,0.46752,0.43654
0.23344,0.16507,0.53173,0.28514,0.57143,0.33333,0.49154,0.34291,0.42504,0.28333
0.09831,0.21289,0.43697,0.28608,0.64286,0.33333,?,0.39135,0.42545,0.35833
0.06663,0.2356,0.48736,0.2765,0.57143,0.33333,0.54162,?,0.50518,0.40641
0.06771,0.19805,0.43369,0.41566,0.71429,0.73333,0.51327,0.40344,0.46453,0.49615
0.29385,0.04545,?,?,?,0.33333,0.4973,0.34202,?,?
0.2157,0.12711,0.39891,0.22724,0.5,0.33333,?,0.32745,?,?
0.20831,?,0.5416,0.36044,0.42857,?,0.48002,0.3845,0.43772,0.30256
0.29931,0.11948,0.52235,0.33926,0.5,0.4,0.43428,0.36116,0.40208,0.38974
?,?,0.58286,0.45422,0.57143,0.53333,0.4902,0.42731,0.46281,0.45064
?,0.06195,0.43247,?,0.57143,0.46667,0.4074,0.28779,0.35392,0.32179
0.2783,?,0.56114,0.43315,0.5,0.4,0.39925,0.35775,0.38137,0.32756
0.12193,0.21017,0.40459,0.21099,0.57143,0.46667,?,?,0.44786,0.39231
0.11821,0.2724,0.35564,0.29655,0.57143,0.53333,0.36108,0.35691,0.36013,0.39808
0.21011,?,0.50685,0.32051,0.42857,0.4,?,0.39951,?,0.39615
0.09098,0.48252,?,0.31648,?,?,0.37891,0.39338,0.38652,?
?,0.18051,0.58216,0.35495,?,0.4,0.51149,0.38153,0.45356,0.36987
0.26284,?,0.41232,0.20846,0.5,0.33333,0.44132,0.2964,0.37638,0.3141
0.23761,0.19058,0.51304,0.34889,0.71429,0.53333,0.46345,0.37548,0.42455,?
0.15251,0.41719,?,0.39593,0.64286,0.46667,0.42204,0.40992,0.41763,0.46731
0.29385,0.15152,0.49416,0.44048,0.5,?,0.39254,0.36381,0.38047,0.31603
0.13135,0.22904,0.38891,0.30721,0.42857,0.4,0.39191,0.36082,0.37877,0.42756
?,0.22893,?,0.4719,0.71429,0.53333,0.57739,0.44142,0.5169,0.39103
?,?,0.50813,?,0.57143,0.46667,0.46598,0.37245,0.42455,0.425
0.30908,0.15299,0.55679,0.31293,0.64286,0.4,0.48276,0.39543,0.4442,0.37179
0.25588,0.27773,0.52122,0.43123,0.71429,0.6,?,0.35472,0.41697,?
0.52802,0.09334,0.55857,0.45798,0.5,0.46667,0.44189,0.35496,?,0.27628
0.0587,0.33206,0.40617,0.32276,0.5,0.46667,0.37874,0.33582,?,0.56987
0.16647,0.4944,0.4771,0.45059,?,0.46667,0.42444,0.43538,0.43056,0.42179
0.19457,?,0.5493,0.3757,0.71429,0.53333,0.50186,0.41878,0.46529,0.54744
0.08019,0.28351,0.35334,0.25321,0.42857,0.46667,0.42259,0.37415,0.40161,0.39167
0.22393,0.07558,0.52083,0.2626,0.42857,0.26667,0.44757,0.31309,0.38741,0.31603
0.22271,0.09586,0.43728,0.31147,0.64286,0.53333,0.38174,0.3158,0.35267,0.53269
0.21287,0.26342,0.67388,0.4451,0.57143,0.46667,0.54643,0.44629,0.5022,0.39103
0.15145,0.30456,0.49714,0.35243,0.42857,0.4,0.48947,0.41788,?,?
0.22417,0.31901,0.52921,0.3971,0.64286,0.53333,?,0.44247,0.48091,0.66026
0.21662,0.20552,0.42095,0.30568,0.71429,0.53333,0.49819,?,0.44258,0.47564
0.19331,0.09027,0.30799,0.15131,0.42857,0.33333,?,0.27985,?,0.28974
0.19383,0.12514,0.41449,0.23647,?,0.4,0.45962,0.35931,?,0.33718
0.22191,0.14907,0.54148,0.27854,0.71429,0.46667,0.50208,0.39061,0.45256,0.48974
0.01665,?,0.33928,0.27625,0.35714,0.26667,0.38316,0.36427,0.37556,0.47821
0.02616,0.3885,0.38418,0.29616,0.5,0.4,0.45021,0.38769,0.42288,0.46859
0.24138,0.17233,?,0.31648,0.5,?,0.416,0.34667,0.38547,0.32244
0.12516,0.28764,0.44562,0.32214,0.5,0.46667,0.43163,0.36405,0.40195,0.42949
0.1614,0.13731,0.45266,0.24451,0.42857,0.26667,0.50269,0.38589,0.45074,0.25449
0.26855,0.41541,0.50501,0.49677,0.35714,0.4,0.52436,0.51107,0.51969,0.55385
?,0.15488,0.40368,0.22718,0.28571,0.2,?,0.33806,0.37289,0.21667
0.22561,0.20636,0.37659,0.29814,0.64286,0.46667,0.40392,0.32296,?,0.40192
0.35634,0.15022,0.47558,0.34352,0.64286,0.46667,0.44455,0.33745,0.39687,0.46154
0.14693,0.28788,0.49416,?,?,0.46667,0.46442,0.38527,0.42955,0.50833
0.11906,0.2201,0.42424,0.26155,0.64286,0.4,0.49894,?,0.44445,0.50449
0.22745,0.12063,0.44088,0.31648,0.57143,0.33333,0.42001,0.36512,0.39608,0.33846
0.18103,0.28803,0.5214,0.36609,0.57143,0.4,0.49137,0.41143,0.4562,0.34679
?,0.10417,0.35089,0.16148,0.28571,0.2,0.44983,0.30134,0.38328,0.275
0.21836,0.14154,0.4624,0.30871,0.5,0.4,0.39775,0.30103,0.35468,0.30128
0.27233,0.1685,0.45796,0.31648,0.5,0.33333,0.46344,0.34969,0.41277,0.31538
0.46866,0.18315,0.6176,0.46268,0.57143,0.4,0.58335,0.50145,0.54754,0.37564
0.24278,0.17444,0.42425,0.28494,0.57143,0.4,0.46139,0.36685,0.41949,?
0.30281,0.19485,0.59644,0.39872,0.57143,0.46667,0.58658,0.4758,0.5376,0.34679
?,0.11035,0.49912,0.23886,0.71429,?,0.53152,?,0.44899,0.33846
0.17209,0.11616,?,0.29038,0.35714,0.33333,0.33831,0.2635,0.30508,0.21474
0.30038,0.27879,0.49579,0.45812,0.5,0.53333,0.45482,0.43252,0.44585,0.42692
0.10778,0.24313,0.40555,0.26267,0.64286,0.46667,0.47679,?,0.44137,0.63846
0.27699,0.34277,0.5526,0.46631,0.35714,0.33333,0.53903,0.49127,0.51867,0.34551
0.18153,0.10368,0.57724,0.2514,0.5,0.26667,0.58394,0.407,0.50477,0.28077
0.21625,0.23924,0.49895,0.37859,?,0.53333,0.50643,?,0.47135,0.51154
0.17833,0.33101,0.56722,0.39447,0.57143,0.46667,0.51805,?,0.47906,0.48974
0.19781,?,0.38052,0.29751,0.42857,0.33333,0.39216,0.34005,0.36943,0.35128
0.36961,0.09801,0.52214,0.38181,?,?,0.48182,?,0.43974,?
0.20316,0.22687,0.42931,0.34642,0.57143,0.6,?,0.35702,0.38379,0.375
?,0.22082,?,0.16953,0.5,0.26667,0.34751,0.27206,?,0.2609
0.1056,0.52273,0.63143,0.44105,0.64286,0.46667,0.61403,?,0.56867,0.51282
0.13421,0.24913,0.51796,0.30049,0.57143,0.4,0.49423,0.38808,0.44712,0.34551
0.40849,0.12254,?,0.36278,0.57143,0.4,0.47541,0.33376,0.41205,?
0.12424,0.23369,0.44457,0.32163,0.57143,0.53333,0.51629,0.37791,0.45453,0.4
?,0.14101,0.50721,0.3884,0.57143,0.53333,0.4418,?,?,0.38526
0.08854,0.2374,?,0.25874,0.35714,0.4,0.3239,0.30341,0.31541,0.27179
0.24577,0.30413,0.46805,0.40251,0.5,0.46667,0.38693,0.38063,0.38508,0.45128
?,0.20312,0.54233,0.38982,0.64286,0.46667,0.49175,0.40205,0.45213,0.39487
